sector,industry,subindustry,ssic2010,ssic2015
Manufacturing,General Manufacturing Industries,"Food, Beverages & Tobacco",11041,11041
Manufacturing,General Manufacturing Industries,"Food, Beverages & Tobacco",11042,11042
Manufacturing,General Manufacturing Industries,"Food, Beverages & Tobacco",12001,12001
Manufacturing,General Manufacturing Industries,"Food, Beverages & Tobacco",12009,12009
Manufacturing,General Manufacturing Industries,Printing & Recorded Media,18111,18111
Manufacturing,General Manufacturing Industries,Printing & Recorded Media,18112,18112
Manufacturing,General Manufacturing Industries,Printing & Recorded Media,18113,18113
Manufacturing,General Manufacturing Industries,Printing & Recorded Media,18114,18114
Manufacturing,General Manufacturing Industries,Printing & Recorded Media,18115,18115
Manufacturing,General Manufacturing Industries,Printing & Recorded Media,18119,18119
Manufacturing,General Manufacturing Industries,Printing & Recorded Media,18121,18121
Manufacturing,General Manufacturing Industries,Printing & Recorded Media,18122,18122
Manufacturing,General Manufacturing Industries,Printing & Recorded Media,18123,18123
Manufacturing,General Manufacturing Industries,Printing & Recorded Media,18129,18129
Manufacturing,General Manufacturing Industries,Printing & Recorded Media,18200,18200
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,13100,13100
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,13910,13910
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,13921,13921
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,13922,13922
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,13929,13929
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,13930,13930
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,13940,13940
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,13990,13990
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,14101,14101
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,14102,14101
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,14103,14102
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,14104,14102
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,14105,14103
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,14106,14109
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,14109,14109
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,14201,14200
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,14209,14200
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,14301,14301
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,14302,14302
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,14309,14309
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,15110,15110
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,15121,15121
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,15122,15122
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,15129,15129
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,15201,15200
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,15202,
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,15203,
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,15204,
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,15209,
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,16101,16101
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,16102,16102
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,16109,16109
